originProductNo,channelProductNo,name,price,stock,status
11182437810,11235233806,LG 55인치 원퀵 Pro 55CT5WJ 올인원 디스플레이 화상회의,1900000,1,SALE
11178966041,11231750701,LG 모니터 전용 32인치~35인치 모니터 다리,25000,0,OUTOFSTOCK
11174667473,11227439891,12V 7A 고효율 어댑터 PDA 모니터 아답터 벌크 (외경5.5mm-내경2.5mm) ATS090-P120,9500,47,SALE
11165154466,11217901006,LG 슬림 조립 PC i5 6세대 사무용 가정용 풀셋트+ 24인치 LG LED 모니터 풀제공,390000,100,SALE
11165143526,11217889970,LG 슬림 조립 PC i5 6세대 사무용 가정용 풀셋트+ 22인치 LG LED 모니터 풀제공,370000,100,SALE
11165137409,11217883814,LG 슬림 조립 PC i5 6세대 사무용 가정용 풀셋트+ 24인치 LG LED 모니터 풀제공,390000,100,SALE
11165132537,11217878908,LG 슬림 조립 PC i5 6세대 사무용 가정용 풀셋트+ 22인치 LG LED 모니터 풀제공,370000,100,SALE
11165004129,11217749850,LG 슬림 조립 PC i5 4세대 사무용 가정용 풀셋트+ 24인치 LG LED 모니터 풀제공,250000,100,SALE
11164997451,11217743138,LG 슬림 조립 PC i5 4세대 사무용 가정용 풀셋트+ 22인치 LG LED 모니터 풀제공,230000,100,SALE
11164966930,11217712476,LG 슬림 조립 PC i5 4세대 사무용 가정용 풀셋트+ 24인치 LG LED 모니터 풀제공,250000,100,SALE
11164932862,11217678267,LG 슬림 조립 PC i5 4세대 사무용 가정용 풀셋트+ 22인치 LG LED 모니터 풀제공,230000,100,SALE
11156459158,11209177013,노트북 하드디스크 1TB 중고 HDD 2.5인치 삼성 히다찌 WD 랜덤발송,26500,18,SALE
11126437855,11179063643,"LG그램 노트북 15Z90N-VP70ML i7-1065g7 16G 256G 액정, 배터리 신품 교체",650000,0,OUTOFSTOCK
11125557595,11178179432,LG 모니터 정품 아답타 19V 0.84A 신품 벌크 어댑터 ADS-18SG-19-3,12000,999,SALE
11125436400,11178057856,LG 모니터 정품 아답타 19V 1.3A 전원일체형 신품 벌크 어댑터 ADS-40FSG-19,12000,914,SALE
11107072142,11159637246,SAS/SATA/SSD 2.5 to 3.5 HP 워크스테이션 가이드 브라켓 Z820 Z840 Z620 Z640 668261-001,15000,10,SALE
11106909484,11159473684,HP Z640 제온 E5-2637 V3 4코어 SSD HDD Win10 중고 워크스테이션,250000,2,SUSPENSION
11106827356,11159391302,"HP 워크스테이션 Z640 베어본 E5 V3 V4 DDR3 지원 CPU, RAM, HDD 없음",180000,0,OUTOFSTOCK
11106704247,11159267728,삼성 22인치 LED FHD S22F354F LS22F350 사무용 가정용 모니터,45000,48,SALE
11101508172,11154058531,XP컴퓨터 윈도우XP 한글 LG PC 본체 시리얼 2세대 i3-2100 4G SSD120G XP SP3,130000,200,SALE
11101503723,11154054065,XP컴퓨터 윈도우XP 한글 LG PC 본체 시리얼 2세대 i3-2100 4G HDD500G XP SP3,99000,198,SALE
11100855429,11153403625,DELL 정품 아답타 19.5V 4.62A 90W 노트북 어댑터 충전기 LA90PM130,30000,10,SALE
11093914349,11146440686,DELL 정품 아답타 19.5V 6.67A 130W 노트북 어댑터 충전기 HA130PM130,40000,7,SALE
11093828119,11146353837,레노버 정품 전원아답터 20V 3.25A 65W 외경 5.5mm 내경 2.5mm 노트북 어댑터,15000,10,SALE
11093796415,11146321935,레노버 정품 전원아답터 20V 6.75A 사각팁 노트북 어댑터,40000,9,SALE
11083032560,11135526888,삼성 노트북 어댑터 AD-4519AKR 정품 아답타 19V 3.42A,25000,0,OUTOFSTOCK
11082990487,11135484475,삼성 노트북 어댑터 AD-4519AKR 정품 아답타 19V 2.37A,20000,1,SUSPENSION
11082840383,11135333515,CCTV 코드 일체형 아답타 어댑터 12V 2A  5.5mm 2.1mm,4500,986,SALE
11082656340,11135148410,포스용 아답타 어댑터 24V 2.5A BPA-06024G 중고 벌크,9000,98,SALE
11082474729,11134965565,삼성 모니터 어댑터 SHA0801 아답타 12V 3.34A 12V 3A 중고 벌크,3500,205,SALE
11082460905,11134951525,삼성 모니터 어댑터 SHA0801 아답타 12V 3.34A 12V 3A 벌크 전원케이블 포함,4800,263,SALE
11082142851,11134632384,LG 모니터 어댑터 LCAP43-E 아답타 19V 0.84A 전원일체형 벌크,8900,300,SALE
11082080620,11134569876,삼성 모니터 어댑터 A4514 아답타 14V 3.2A 45W 벌크 전원케이블 포함,7900,300,SALE
11082041477,11134530551,삼성 모니터 어댑터 A2514 아답타 14V 1.7A 25W 일체형 벌크,4900,295,SALE
11081995879,11134484726,삼성 모니터 어댑터 A2514 아답타 14V 1.7A 25W 분리형 벌크 전원케이블 포함,5400,255,SALE
11074321906,11126782382,삼성 서버용 메모리 ECC/REG RAM DDR4 PC4 16G 2133P 17000,35000,12,SUSPENSION
11074309700,11126770115,삼성 서버용 메모리 ECC/REG RAM DDR4 PC4 16G 2666V 21300,35000,9,SALE
11074215957,11126675840,삼성 서버용 메모리 ECC/REG RAM DDR4 PC4 32G 2400T 19200,59000,14,SALE
11073098892,11125554238,LG 모니터 스탠드 신품 모니터 다리 거치대 블랙 24MN430HW 24MK430H 24MK400H 22MK430H 22MK400H 24MP400,14000,50,SALE
11034157345,11086474442,LG 울트라와이드 고해상도 게이밍 커브드 모니터 34WP65C,250000,6,PROHIBITION
11034069377,11086386075,LG 울트라와이드 고해상도 커브드 모니터 35WN65C,300000,0,OUTOFSTOCK
11014961841,11067208031,삼성전자 LS24F354 FHD IPS 슬림 광시야각 24인치 모니터,65000,50,SUSPENSION
11005676357,11057887851,LG 삼성 기타 중소브랜드 모니터 다리 모니터 받침대 모니터 암 베사 10x10,10000,4,SALE
10986509962,11038645444,앱코 파워 서플라이 XTREAM XT-850G 80PLUS GOLD Full Modular ABKO-850G-MMXX-A 850W,65000,0,OUTOFSTOCK
10976474395,11028573937,병원용 사무용 기업용  델 DELL 24인치 모니터 피벗 CCTV용 가정용,80000,2,SALE
10962026601,11014077695,게이밍컴퓨터 조립PC 고사양 게임용 데스크탑 3개월 렌탈 회수 게이밍PC,950000,1,SUSPENSION
10961891898,11013942262,삼성 사이니지 DID 패널 46인치 LTI460HN11 디지털게시판 메뉴판 광고용모니터,300000,6,SUSPENSION
10857652815,10909370220,삼성전자 24 LED모니터 LS24D300 사무용/가정용 모니터,55000,11,SALE
